ConceptA,ConceptB,Probability
http://dbpedia.org/ontology/Royalty,http://dbpedia.org/ontology/Pharaoh,0.016307513104251603
http://dbpedia.org/ontology/Royalty,http://dbpedia.org/ontology/Pretender,0.0007616146230007616
http://dbpedia.org/ontology/Royalty,http://dbpedia.org/ontology/BritishRoyalty,0.00515209892029927
http://dbpedia.org/ontology/Religious,http://dbpedia.org/ontology/LatterDaySaint,0.12413648733514758
http://dbpedia.org/ontology/Religious,http://dbpedia.org/ontology/JewishLeader,0.15449026585723258
http://dbpedia.org/ontology/Religious,http://dbpedia.org/ontology/Rebbe,0.026376386853673855
http://dbpedia.org/ontology/Politician,http://dbpedia.org/ontology/Governor,0.0038026674519081875
http://dbpedia.org/ontology/Politician,http://dbpedia.org/ontology/Congressman,0.0017871013926190683
http://dbpedia.org/ontology/Politician,http://dbpedia.org/ontology/President,0.004381444607472318
http://dbpedia.org/ontology/Politician,http://dbpedia.org/ontology/PrimeMinister,0.0028126538963379653
http://dbpedia.org/ontology/Politician,http://dbpedia.org/ontology/MemberOfParliament,0.0033051221778267427
http://dbpedia.org/ontology/Politician,http://dbpedia.org/ontology/Chancellor,0.0001421557925946986
http://dbpedia.org/ontology/Politician,http://dbpedia.org/ontology/Senator,0.0005635461777861266
http://dbpedia.org/ontology/Politician,http://dbpedia.org/ontology/Ambassador,0.0008123188148268491
http://dbpedia.org/ontology/Politician,http://dbpedia.org/ontology/Mayor,0.005752232607492626
http://dbpedia.org/ontology/Artist,http://dbpedia.org/ontology/ClassicalMusicArtist,0.002702172022701985
http://dbpedia.org/ontology/Artist,http://dbpedia.org/ontology/VoiceActor,0.004151433834185749
http://dbpedia.org/ontology/Artist,http://dbpedia.org/ontology/MusicalArtist,0.6217800675075502
http://dbpedia.org/ontology/Artist,http://dbpedia.org/ontology/ComicsCreator,0.03134145543286178
http://dbpedia.org/ontology/Artist,http://dbpedia.org/ontology/FashionDesigner,0.007564211648324934
http://dbpedia.org/ontology/Artist,http://dbpedia.org/ontology/Instrumentalist,0.0011033089919682845
http://dbpedia.org/ontology/Artist,http://dbpedia.org/ontology/AdultActor,0.006245850903684865
http://dbpedia.org/ontology/Artist,http://dbpedia.org/ontology/Dancer,0.0060588493796224436
http://dbpedia.org/ontology/Artist,http://dbpedia.org/ontology/Painter,0.022159680601396902
http://dbpedia.org/ontology/Artist,http://dbpedia.org/ontology/Guitarist,0.0011033089919682845
http://dbpedia.org/ontology/Artist,http://dbpedia.org/ontology/Photographer,0.005123841759310338
http://dbpedia.org/ontology/Artist,http://dbpedia.org/ontology/Actor,0.045338519508934
http://dbpedia.org/ontology/Artist,http://dbpedia.org/ontology/Comedian,0.014109264990509672
http://dbpedia.org/ontology/Coach,http://dbpedia.org/ontology/AmericanFootballCoach,0.0006417308397506417
http://dbpedia.org/ontology/Coach,http://dbpedia.org/ontology/CollegeCoach,0.9841400806747341
http://dbpedia.org/ontology/Coach,http://dbpedia.org/ontology/VolleyballCoach,0.01530986431976531
http://dbpedia.org/ontology/MusicalArtist,http://dbpedia.org/ontology/ClassicalMusicArtist,0.0023123144747685684
http://dbpedia.org/ontology/MusicalArtist,http://dbpedia.org/ontology/Instrumentalist,0.0009441284014625989
http://dbpedia.org/ontology/MusicalArtist,http://dbpedia.org/ontology/Guitarist,0.0009441284014625989
http://dbpedia.org/ontology/Actor,http://dbpedia.org/ontology/VoiceActor,0.0901522842639594
http://dbpedia.org/ontology/Actor,http://dbpedia.org/ontology/AdultActor,0.13563451776649746
http://dbpedia.org/ontology/VolleyballPlayer,http://dbpedia.org/ontology/BeachVolleyballPlayer,0.0497639653815893
http://dbpedia.org/ontology/SnookerPlayer,http://dbpedia.org/ontology/SnookerChamp,0.06923076923076923
http://dbpedia.org/ontology/Boxer,http://dbpedia.org/ontology/AmateurBoxer,0.06453126833274668
http://dbpedia.org/ontology/Wrestler,http://dbpedia.org/ontology/SumoWrestler,0.07054361567635904
http://dbpedia.org/ontology/MotorsportRacer,http://dbpedia.org/ontology/NascarDriver,0.16993857641816212
http://dbpedia.org/ontology/MotorsportRacer,http://dbpedia.org/ontology/MotorcycleRider,0.3136215825605203
